gene,module,screen,scope,contrast,n_test,n_comp,med_test,med_comp,effect,mw_p,perm_p,ci_lo,ci_hi,null_mode
PRMT5,CTRL MTAP-synth-leth,CRISPR,PAN,A_vs_C,324,814,-1.081966448756265,-0.9774797222182607,0.10448672653800428,4.975252869227069e-12,1.999960000799984e-05,0.061924648573599916,0.15490946912351938,either
TEAD4,YAP/TAZ-TEAD output,CRISPR,CNS,A_vs_C,50,35,-0.1109910257302277,-0.1149548300952427,-0.003963804365014992,0.31960858657373803,0.5707685846283075,-0.067212565235473,0.08214489549178446,either
TEAD2,YAP/TAZ-TEAD output,CRISPR,PAN,A_vs_C,324,814,-0.1054072009144492,-0.11054932696549144,-0.005142126051042237,0.683954085112165,0.6575068498630028,-0.02431492316972437,0.01396845303800341,either
MTAP,CTRL neutral,CRISPR,CNS,A_vs_C,50,35,-0.01898185405976425,-0.1064197955242652,-0.08743794146450096,0.9997715164395059,0.9874402511949761,-0.17085214159465073,-0.0066429175445714,either
MAT2A,CTRL MTAP-synth-leth,CRISPR,PAN,A_vs_C,324,814,-1.7961561725819528,-1.7452550412253816,0.05090113135657126,0.11937357566652712,0.05993880122397552,-0.032259853182645015,0.09513395639628758,either
VCL,FAK / focal-adhesion,RNAi,PAN,B_vs_C,9,223,0.201245630217,0.0836971757885,-0.11754845442850001,0.8696173492273352,0.9219215615687686,-0.279935767286,0.2369702492254,either
MTAP,CTRL neutral,CRISPR,PAN,B_vs_C,30,814,-0.09343977531446535,-0.0960712684995507,-0.0026314931850853485,0.6721046286878699,0.5289294214115717,-0.05986401081996061,0.045841217370695395,either
MTAP,CTRL neutral,CRISPR,PAN,A_vs_C,324,814,-0.00594353009282245,-0.0960712684995507,-0.09012773840672825,1.0,1.0,-0.1078099076616137,-0.06834703034078074,either
PTK2,FAK / focal-adhesion,RNAi,PAN,B_vs_C,18,443,-0.2048283387805,-0.0653323982233,0.1394959405572,0.005682901853513947,0.0019199616007679846,-0.014924444129772499,0.2310942965189,either
VCL,FAK / focal-adhesion,RNAi,PAN,A_vs_C,75,223,0.0693766233188,0.0836971757885,0.014320552469700001,0.3584955065466193,0.248135037299254,-0.05315725539819999,0.067978688595,either
