mean_null,mean_intact,delta,p,n_null,n_intact,broad_id,drug,q
-0.20196511127346178,-0.02970856635394171,-0.17225654491952008,0.09093118092878422,42,35,BRD-K07395323-001-02-9,17-PA,0.9998823550455124
0.0657372799646667,0.23713088473316912,-0.1713936047685024,0.026903003305361158,42,35,BRD-K00003475-001-01-9,S-3304,0.9998823550455124
-0.576324377199461,-0.4069535104837006,-0.16937086671576035,0.07825835980372156,42,35,BRD-K01584643-001-04-9,tannic-acid,0.9998823550455124
-0.171663285973861,-0.002430812317981828,-0.16923247365587915,0.08926855410379925,42,35,BRD-K16605796-001-01-9,T-025,0.9998823550455124
-0.09420391808698554,0.07444024915852494,-0.16864416724551048,0.026189425025557326,41,32,BRD-K00085357-001-01-9,Fluciclovine,0.9998823550455124
-0.16842780983980002,-0.0008170832472691535,-0.16761072659253087,0.08407487079002085,42,36,BRD-K00003330-001-01-9,afamelanotide,0.9998823550455124
-0.44533410436381243,-0.2777737141822906,-0.16756039018152186,0.1881016754971822,42,35,BRD-K00004690-001-01-9,SKLB-1028,0.9998823550455124
-0.08589199641717607,0.08156768853512025,-0.16745968495229632,0.05136935923074835,42,35,BRD-K86718786-001-03-9,SGC-707,0.9998823550455124
-0.11167431793858829,0.05494113645208191,-0.1666154543906702,0.12700390985359172,42,35,BRD-K00256256-001-06-1,AMZ30,0.9998823550455124
-0.06606072548796801,0.09658989611365427,-0.1626506216016223,0.16683324254148552,42,35,BRD-K75940276-001-04-9,CYM-5541,0.9998823550455124
-0.28538122924029424,-0.12281547369115062,-0.16256575554914363,0.13193077876000042,41,32,BRD-K00073895-001-02-9,GW7604,0.9998823550455124
0.08693769161456166,0.2491065380262853,-0.16216884641172363,0.2199443892121325,42,35,BRD-K00003243-236-01-9,pantoprazole,0.9998823550455124
-0.15502258157039486,0.007083353023977848,-0.16210593459437272,0.06565497004135043,42,35,BRD-A60765580-001-03-4,seratrodast,0.9998823550455124
-0.19739696161884399,-0.03542196373628069,-0.1619749978825633,0.16428821684668682,42,35,BRD-K20484910-001-16-9,ampyrone,0.9998823550455124
-0.17707343981888657,-0.01654788531841814,-0.16052555450046843,0.12072718635118457,42,35,BRD-K00003386-001-01-9,HT-2157,0.9998823550455124
-0.03883116251964125,0.11933020817565816,-0.1581613706952994,0.041457177127862115,42,35,BRD-K00003206-001-01-9,emiglitate,0.9998823550455124
0.030280577091528406,0.18615503130904631,-0.15587445421751792,0.11075733820807654,42,35,BRD-K18573821-001-03-9,PAOPA,0.9998823550455124
-0.17927067278233352,-0.023521709968295904,-0.1557489628140376,0.03391813258625835,42,35,BRD-K84068331-001-02-9,CW-008,0.9998823550455124
-0.16501792629313738,-0.011084320538589605,-0.1539336057545478,0.29937056914718174,42,36,BRD-K00003503-001-01-9,vecabrutinib,0.9998823550455124
-0.5427583497654527,-0.38911704192056623,-0.15364130784488644,0.30628951014637834,42,35,BRD-K00003461-001-01-9,pamiparib,0.9998823550455124
-0.21756590878838253,-0.06465175080667465,-0.15291415798170788,0.059142664049934845,41,32,BRD-K00079520-001-02-9,Tecarfarin,0.9998823550455124
-0.06968530319617357,0.08290084678137731,-0.15258614997755088,0.12700390985359172,42,35,BRD-K00003231-001-01-9,doravirine,0.9998823550455124
-0.0665417775987581,0.08570362979534388,-0.15224540739410197,0.09017780212830129,41,32,BRD-K00091266-001-01-9,IDO1-IN-5,0.9998823550455124
-0.006791671363211972,0.14500424730803063,-0.1517959186712426,0.14718186927826166,42,35,BRD-K00003279-001-01-9,PF-06282999,0.9998823550455124
-0.31527542088674093,-0.16382384407675638,-0.15145157680998456,0.06557847769923644,42,34,BRD-K75016267-001-02-9,SNG-1153,0.9998823550455124
-0.4058027106478515,-0.25520811432272705,-0.15059459632512445,0.11868430253878076,42,35,BRD-K40624912-003-17-9,ZM-39923,0.9998823550455124
-0.09777786324795966,0.052354303909988305,-0.15013216715794797,0.02828268063359435,41,32,BRD-K00090650-001-01-9,Remogliflozin etabonate,0.9998823550455124
-0.3052960966478066,-0.15559660301176195,-0.14969949363604465,0.0876286521294315,42,35,BRD-K03336321-001-02-9,AZD8797,0.9998823550455124
-1.5153277194188124,-1.366027544904174,-0.14930017451463828,0.18535516675219577,42,35,BRD-M01344114-348-01-0,threo-2-methylisocitrate-(DL),0.9998823550455124
-0.04333954071304975,0.10522564934527306,-0.1485651900583228,0.10506627768716614,42,35,BRD-A06784547-001-03-9,MRS-1334,0.9998823550455124
-0.10487600336580526,0.043593871278235635,-0.14846987464404088,0.10063482311549965,42,36,BRD-K00004669-001-01-9,cangrelor,0.9998823550455124
0.021242069558182017,0.16948748724826965,-0.14824541769008764,0.03455391226367804,41,32,BRD-K00091106-001-01-9,TAK-071,0.9998823550455124
-1.1007634344127335,-0.9528416666681555,-0.147921767744578,0.19649079214537002,42,35,BRD-K00004615-001-01-9,PBT-1033,0.9998823550455124
0.005443416235811253,0.15296151774392244,-0.14751810150811118,0.07677342638584343,42,35,BRD-K00003483-003-01-9,GSK656,0.9998823550455124
-0.20676197315153702,-0.059319433209244744,-0.14744253994229228,0.15436128114869163,42,35,BRD-K00495673-001-05-2,meglutol,0.9998823550455124
0.03338414988236281,0.17969208582237628,-0.14630793594001346,0.061957984924183696,42,36,BRD-K00003146-318-01-9,MIW-815,0.9998823550455124
